Query #    Literal    Document                                           Rank       Score                System Name         
28         Q0         CACM-3032.html                                     1          0.6990481            unigram_casefolded_LuceneDefault
28         Q0         CACM-2949.html                                     2          0.65119773           unigram_casefolded_LuceneDefault
28         Q0         CACM-2890.html                                     3          0.47726485           unigram_casefolded_LuceneDefault
28         Q0         CACM-2892.html                                     4          0.47145486           unigram_casefolded_LuceneDefault
28         Q0         CACM-1685.html                                     5          0.38176307           unigram_casefolded_LuceneDefault
28         Q0         CACM-3158.html                                     6          0.3767359            unigram_casefolded_LuceneDefault
28         Q0         CACM-2849.html                                     7          0.36010286           unigram_casefolded_LuceneDefault
28         Q0         CACM-2515.html                                     8          0.3294517            unigram_casefolded_LuceneDefault
28         Q0         CACM-2776.html                                     9          0.32151076           unigram_casefolded_LuceneDefault
28         Q0         CACM-2046.html                                     10         0.3096064            unigram_casefolded_LuceneDefault
28         Q0         CACM-1928.html                                     11         0.30450034           unigram_casefolded_LuceneDefault
28         Q0         CACM-1846.html                                     12         0.29664016           unigram_casefolded_LuceneDefault
28         Q0         CACM-0616.html                                     13         0.29438296           unigram_casefolded_LuceneDefault
28         Q0         CACM-0441.html                                     14         0.28954715           unigram_casefolded_LuceneDefault
28         Q0         CACM-2401.html                                     15         0.27200234           unigram_casefolded_LuceneDefault
28         Q0         CACM-1989.html                                     16         0.2701532            unigram_casefolded_LuceneDefault
28         Q0         CACM-2969.html                                     17         0.26193115           unigram_casefolded_LuceneDefault
28         Q0         CACM-2289.html                                     18         0.25729507           unigram_casefolded_LuceneDefault
28         Q0         CACM-1695.html                                     19         0.25399694           unigram_casefolded_LuceneDefault
28         Q0         CACM-2371.html                                     20         0.25040916           unigram_casefolded_LuceneDefault
28         Q0         CACM-2951.html                                     21         0.24957557           unigram_casefolded_LuceneDefault
28         Q0         CACM-0828.html                                     22         0.24864054           unigram_casefolded_LuceneDefault
28         Q0         CACM-1723.html                                     23         0.24217008           unigram_casefolded_LuceneDefault
28         Q0         CACM-1611.html                                     24         0.23940973           unigram_casefolded_LuceneDefault
28         Q0         CACM-2274.html                                     25         0.23763084           unigram_casefolded_LuceneDefault
28         Q0         CACM-3040.html                                     26         0.23404741           unigram_casefolded_LuceneDefault
28         Q0         CACM-2712.html                                     27         0.23358643           unigram_casefolded_LuceneDefault
28         Q0         CACM-2197.html                                     28         0.22985767           unigram_casefolded_LuceneDefault
28         Q0         CACM-1458.html                                     29         0.22849292           unigram_casefolded_LuceneDefault
28         Q0         CACM-3164.html                                     30         0.22769682           unigram_casefolded_LuceneDefault
28         Q0         CACM-1728.html                                     31         0.22152203           unigram_casefolded_LuceneDefault
28         Q0         CACM-2572.html                                     32         0.22137438           unigram_casefolded_LuceneDefault
28         Q0         CACM-2900.html                                     33         0.21912684           unigram_casefolded_LuceneDefault
28         Q0         CACM-1181.html                                     34         0.21851446           unigram_casefolded_LuceneDefault
28         Q0         CACM-1572.html                                     35         0.21721733           unigram_casefolded_LuceneDefault
28         Q0         CACM-2454.html                                     36         0.21426648           unigram_casefolded_LuceneDefault
28         Q0         CACM-1906.html                                     37         0.2129354            unigram_casefolded_LuceneDefault
28         Q0         CACM-3059.html                                     38         0.21107824           unigram_casefolded_LuceneDefault
28         Q0         CACM-2973.html                                     39         0.20637225           unigram_casefolded_LuceneDefault
28         Q0         CACM-1165.html                                     40         0.20349306           unigram_casefolded_LuceneDefault
28         Q0         CACM-2450.html                                     41         0.2028501            unigram_casefolded_LuceneDefault
28         Q0         CACM-2630.html                                     42         0.20281182           unigram_casefolded_LuceneDefault
28         Q0         CACM-1890.html                                     43         0.19675733           unigram_casefolded_LuceneDefault
28         Q0         CACM-1844.html                                     44         0.195304             unigram_casefolded_LuceneDefault
28         Q0         CACM-1601.html                                     45         0.19238642           unigram_casefolded_LuceneDefault
28         Q0         CACM-1551.html                                     46         0.19126791           unigram_casefolded_LuceneDefault
28         Q0         CACM-3133.html                                     47         0.18917345           unigram_casefolded_LuceneDefault
28         Q0         CACM-3076.html                                     48         0.18807691           unigram_casefolded_LuceneDefault
28         Q0         CACM-1397.html                                     49         0.18776521           unigram_casefolded_LuceneDefault
28         Q0         CACM-1199.html                                     50         0.18557706           unigram_casefolded_LuceneDefault
28         Q0         CACM-2916.html                                     51         0.18519948           unigram_casefolded_LuceneDefault
28         Q0         CACM-2833.html                                     52         0.18366724           unigram_casefolded_LuceneDefault
28         Q0         CACM-2598.html                                     53         0.18339999           unigram_casefolded_LuceneDefault
28         Q0         CACM-1421.html                                     54         0.18244815           unigram_casefolded_LuceneDefault
28         Q0         CACM-2060.html                                     55         0.18077862           unigram_casefolded_LuceneDefault
28         Q0         CACM-1516.html                                     56         0.17952526           unigram_casefolded_LuceneDefault
28         Q0         CACM-2625.html                                     57         0.17786025           unigram_casefolded_LuceneDefault
28         Q0         CACM-1034.html                                     58         0.17696378           unigram_casefolded_LuceneDefault
28         Q0         CACM-0367.html                                     59         0.17634316           unigram_casefolded_LuceneDefault
28         Q0         CACM-2092.html                                     60         0.1744497            unigram_casefolded_LuceneDefault
